證券代碼,簡稱,年月,交易所主產業代碼,交易所子產業代碼,TEJ主產業代碼,TEJ子產業代碼
1309,台達化,200903  ,M1300,M1300,13A,13A1
1310,台苯,200903  ,M1300,M1300,13A,13A1
1312,國喬,200903  ,M1300,M1300,13A,13A1
1313,聯成,200903  ,M1300,M1300,13A,13A7
1314,中石化,200903  ,M1300,M1300,13A,13A5
1315,達新,200903  ,M1300,M1300,13A,13A8
1316,上曜,200903  ,M1300,M1300,13A,13A6
1319,東陽,200903  ,M1300,M1300,15D,15D
1321,大洋,200903  ,M1300,M1300,13A,13A8
1323,永裕,200903  ,M1300,M1300,13A,13A8
1324,地球,200903  ,M1300,M1300,13A,13A9
1325,恒大,200903  ,M1300,M1300,14F,14F
1326,台化,200903  ,M1300,M1300,13A,13A1
1402,遠東新,200903  ,M1400,M1400,14A,14A1
1409,新纖,200903  ,M1400,M1400,14A,14A1
1410,南染,200903  ,M1400,M1400,14E,14E
1413,宏洲,200903  ,M1400,M1400,14A,14A2
1414,東和,200903  ,M1400,M1400,14A,14A1
1416,廣豐,200903  ,M1400,M1400,14B,14B1
1417,嘉裕,200903  ,M1400,M1400,14C,14C1
1418,東華,200903  ,M1400,M1400,14B,14B2
1419,新紡,200903  ,N.A.,N.A.,N.A.,N.A.
1423,利華,200903  ,M1400,M1400,14D,14D2
1432,大魯閣,200903  ,M1400,M1400,14C,14C2
1434,福懋,200903  ,M1400,M1400,14C,14C2
1435,中福,200903  ,M2300,M2329,23E,23E1
1436,華友聯,200903  ,M2500,M2500,25A,25A
1437,勤益控,200903  ,M2300,M2324,23G,23G2
1438,三地開發,200903  ,M1400,M1400,14B,14B1
1439,中和,200903  ,M1400,M1400,14D,14D2
1440,南紡,200903  ,M1400,M1400,14A,14A1
1441,大東,200903  ,M1400,M1400,14B,14B1
1442,名軒,200903  ,N.A.,N.A.,N.A.,N.A.
1443,立益,200903  ,M1400,M1400,14B,14B1
1444,力麗,200903  ,M1400,M1400,14A,14A2
1445,大宇,200903  ,M1400,M1400,14C,14C2
1446,宏和,200903  ,M1400,M1400,14C,14C2
1447,力鵬,200903  ,M1400,M1400,14A,14A7
1449,佳和,200903  ,M1400,M1400,14C,14C2
1451,年興,200903  ,M1400,M1400,14C,14C1
1452,宏益,200903  ,M1400,M1400,14A,14A2
1453,大將,200903  ,M1400,M1400,14B,14B1
1454,台富,200903  ,M1400,M1400,14C,14C2
1455,集盛,200903  ,M1400,M1400,14A,14A7
1456,怡華,200903  ,M1400,M1400,14C,14C2
1457,宜進,200903  ,M1400,M1400,14A,14A2
1459,聯發,200903  ,N.A.,N.A.,N.A.,N.A.
1460,宏遠,200903  ,M1400,M1400,14C,14C2
1463,強盛,200903  ,M1400,M1400,14E,14E
1464,得力,200903  ,M1400,M1400,14C,14C2
1465,偉全,200903  ,M1400,M1400,14C,14C2
1466,聚隆,200903  ,M1400,M1400,14A,14A7
1467,南緯,200903  ,M1400,M1400,14C,14C1
1468,昶和,200903  ,M1400,M1400,14C,14C2
1470,大統新創,200903  ,M1400,M1400,14E,14E
1471,首利,200903  ,M2300,M2328,23D,23D3
1472,三洋紡,200903  ,M1400,M1400,14A,14A7
1473,台南,200903  ,M1400,M1400,14C,14C1
1474,弘裕,200903  ,M1400,M1400,14C,14C2
1475,業旺,200903  ,M1400,M1400,14C,14C2
1476,儒鴻,200903  ,M1400,M1400,14C,14C2
1477,聚陽,200903  ,M1400,M1400,14C,14C1
1503,士電,200903  ,M1500,M1500,15B,15B1
1504,東元,200903  ,M1500,M1500,15B,15B1
1506,正道,200903  ,M1500,M1500,15D,15D
1507,永大,200903  ,M1500,M1500,15B,15B1
1512,瑞利,200903  ,M1500,M1500,15D,15D
1513,中興電,200903  ,M1500,M1500,15B,15B1
1514,亞力,200903  ,M1500,M1500,15B,15B1
1515,力山,200903  ,M1500,M1500,15A,15A1
1516,川飛,200903  ,M1500,M1500,99Z,99ZC
1517,利奇,200903  ,M1500,M1500,15E,15E
1519,華城,200903  ,M1500,M1500,15B,15B1
1521,大億,200903  ,M1500,M1500,15D,15D
1522,堤維西,200903  ,M1500,M1500,15D,15D
1524,耿鼎,200903  ,M1500,M1500,15D,15D
1525,江申,200903  ,M1500,M1500,15D,15D
1526,日馳,200903  ,M1500,M1500,15E,15E
1527,鑽全,200903  ,M1500,M1500,15A,15A1
