證券代碼,簡稱,年月日,收盤價(元)
1219,福壽,20090105,7.537
1236,宏亞,20090105,12.0162
1301,台塑,20090105,41.0302
1303,南亞,20090105,34.1409
1304,台聚,20090105,9.7936
1305,華夏,20090105,7.4352
1307,三芳,20090105,16.7148
1308,亞聚,20090105,13.9367
1309,台達化,20090105,5.0957
1310,台苯,20090105,6.7513
1312,國喬,20090105,3.234
1313,聯成,20090105,9.4904
1314,中石化,20090105,6.225
1315,達新,20090105,14.6958
1316,上曜,20090105,3.6542
1220,台榮,20090105,4.9378
1225,福懋油,20090105,6.7465
1227,佳格,20090105,20.7533
1229,聯華,20090105,11.3731
1231,聯華食,20090105,8.0994
1232,大統益,20090105,23.8717
1233,天仁,20090105,24.4333
1234,黑松,20090105,9.4065
1235,興泰,20090105,28.7699
1101,台泥,20090105,24.9147
1102,亞泥,20090105,26.3728
1103,嘉泥,20090105,12.0876
1104,環泥,20090105,12.2462
1108,幸福,20090105,5.9632
1109,信大,20090105,7.6077
1110,東泥,20090105,9.1542
1201,味全,20090105,20.5047
1203,味王,20090105,11.8223
1210,大成,20090105,24.8315
1213,大飲,20090105,6.4259
1215,卜蜂,20090105,10.8629
1216,統一,20090105,27.3475
1217,愛之味,20090105,6.7628
1218,泰山,20090105,7.4834
1319,東陽,20090105,10.8367
1442,名軒,20090105,9.5872
1443,立益,20090105,3.5495
1321,大洋,20090105,10.1
1323,永裕,20090105,8.8108
1324,地球,20090105,8.3774
1325,恒大,20090105,9.0323
1326,台化,20090105,38.0871
1402,遠東新,20090105,21.1544
1409,新纖,20090105,4.3067
1410,南染,20090105,9.0075
1413,宏洲,20090105,2.9299
1414,東和,20090105,1.9931
1416,廣豐,20090105,3.703
1417,嘉裕,20090105,3.9987
1418,東華,20090105,5.2363
1419,新紡,20090105,13.4831
1423,利華,20090105,3.905
1432,大魯閣,20090105,1.0831
1434,福懋,20090105,16.1069
1435,中福,20090105,2
1436,華友聯,20090105,6.777
1437,勤益控,20090105,7.704
1438,三地開發,20090105,1.84
1439,中和,20090105,9.3575
1440,南紡,20090105,6.5023
1441,大東,20090105,2.7527
1444,力麗,20090105,2.399
1475,業旺,20090105,4.7938
1476,儒鴻,20090105,9.1975
1477,聚陽,20090105,22.9777
1503,士電,20090105,29.8806
1445,大宇,20090105,4.2975
1446,宏和,20090105,6.1128
1447,力鵬,20090105,2.1888
1449,佳和,20090105,1.866
1451,年興,20090105,8.9398
1452,宏益,20090105,5.7354
1453,大將,20090105,6.8166
1454,台富,20090105,4.1644
1455,集盛,20090105,3.0162
1456,怡華,20090105,11.3605
1457,宜進,20090105,3.3333
1459,聯發,20090105,3.6586
1460,宏遠,20090105,3.5197
1463,強盛,20090105,2.3966
1464,得力,20090105,4.5605
1465,偉全,20090105,7.2579
1466,聚隆,20090105,2.2289
1467,南緯,20090105,4.4092
1468,昶和,20090105,9.99
1470,大統新創,20090105,9.1031
1471,首利,20090105,12.8845
1472,三洋紡,20090105,5.3233
1473,台南,20090105,16.7339
1474,弘裕,20090105,2.51
1504,東元,20090105,6.5925
1506,正道,20090105,12.2966
1507,永大,20090105,12.3128
1512,瑞利,20090105,4.6568
1513,中興電,20090105,15.0296
1514,亞力,20090105,4.6897
1515,力山,20090105,3.0332
1516,川飛,20090105,16.3053
1517,利奇,20090105,7.9355
1519,華城,20090105,28.6025
1521,大億,20090105,9.2857
1522,堤維西,20090105,9.73
1524,耿鼎,20090105,6.7151
1525,江申,20090105,11.4088
1526,日馳,20090105,5.0247
1527,鑽全,20090105,15.4194
1528,恩德,20090105,6.7617
1529,樂士,20090105,1.8836
1530,亞崴,20090105,22.097
1531,高林股,20090105,10.9503
1532,勤美,20090105,17.0111
1533,車王電,20090105,8.9498
1535,中宇,20090105,27.6082
1536,和大,20090105,10.004
1537,廣隆,20090105,13.3933
1538,正峰,20090105,57.9006
1539,巨庭,20090105,4.4231
1540,喬福,20090105,15.2622
1541,錩泰,20090105,4.7761
1558,伸興,20090105,18.9212
1560,中砂,20090105,12.2598
1582,信錦,20090105,43.169
1583,程泰,20090105,20.7719
1603,華電,20090105,5.1199
1604,聲寶,20090105,3.8053
1605,華新,20090105,6.3921
1608,華榮,20090105,4.7721
1609,大亞,20090105,5.4298
1611,中電,20090105,9.9609
1612,宏泰,20090105,8.4994
1614,三洋電,20090105,17.5077
1615,大山,20090105,6.8217
1616,億泰,20090105,4.33
1617,榮星,20090105,4.8252
1733,五鼎,20090105,45.637
1710,東聯,20090105,13.8973
1711,永光,20090105,9.6804
1712,興農,20090105,8.0263
1713,國化,20090105,7.188
1714,和桐,20090105,4.1815
1805,寶徠,20090105,4.0563
1806,冠軍,20090105,7.2285
1808,潤隆,20090105,12.0811
1809,中釉,20090105,6.7775
1810,和成,20090105,5.2947
1903,士紙,20090105,19.65
1904,正隆,20090105,6.4688
1905,華紙,20090105,7.0044
1906,寶隆,20090105,3.5198
1907,永豐餘,20090105,6.781
1909,榮成,20090105,6.0702
