證券代碼,簡稱,年月,每股盈餘,ROE(A)－稅後,ROE(B)－常續利益,營業毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支/營收,貝里比率,常續利益率－稅後,營業費用率,現金流量比率,每股淨值(A),每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總資產報酬成長率,流動比率,速動比率,淨值/資產,負債比率,總負債/總淨值,長期資金適合率(A),營業利益 /實收資本比,稅前純益 /實收資本,營運資金,存貨及應收帳款/淨值,應收帳款週轉次數,總資產週轉次數,自由現金流量(D),淨營業週期（日）,淨值週轉率（次）,固定資產週轉次數,當季季底P/B,當季季底PSR,季底普通股市值
1309,台達化,200903  ,0.52,5.17,4.34,10.98,5.99,7.05,5.73,1.06,220.16,4.81,4.99,17.07,10.43,2.31,9.09,0.54,0.64,-37.16,432.68,899.46,649.06,649.06,384.76,-23.23,-32.57,1.83,140.2,96.44,34.09,65.91,193.36,198.49,5.45,6.41,1517674,94.43,5.76,1.2,201495,80.97,3.61,4.8,0.64,0.13,1847217
1310,台苯,200903  ,0.59,6.15,6.16,15.13,9.13,9.04,8.81,-0.08,252.15,8.82,6,4.11,9.54,0.42,6.81,0.62,0.62,-36.96,1900.35,973.2,2582.98,2582.98,2691.94,-16,-25.25,2.83,116.49,62.2,47.08,52.92,112.41,223.79,5.37,5.32,851305,72.33,8.15,1.3,-58685,57.62,2.79,5.66,1.13,0.31,5510970
1312,國喬,200903  ,0.97,7.81,6.94,18.63,11.2,13.31,12.8,2.12,250.67,11.37,7.43,17.31,10.74,2.48,5.85,0.65,1.01,-42.41,576.51,602.7,565.7,638.7,19517.1,-22.27,-24.81,2.6,80.03,49.36,40.9,59.1,144.5,106.17,8.15,9.69,-2010052,40.61,10.17,0.95,249062,41.3,2.44,2.2,0.67,0.21,5172745
1313,聯成,200903  ,0.16,0.97,0.98,8.76,4.65,3.86,2.39,-0.79,213.04,2.4,4.11,12.85,16.89,1.09,6.69,0.31,0.26,-27.35,68.95,-46.98,-63.64,-63.64,-61.74,-3.28,-4.06,-0.84,183.7,132.06,54.93,45.07,82.06,259.21,3.09,2.57,5826079,37.01,11.57,0.86,253808,62.83,1.63,3.26,0.63,0.33,8739942
1314,中石化,200903  ,-0.18,-1.6,-1.72,-1.71,-5.71,-7.34,-7.62,-1.64,-42.82,-8.18,4,15.23,10.84,0.39,2.3,-0.13,-0.17,-62.24,-135.12,-143.73,-155.2,-155.2,-190.89,-10.19,-20.39,-2.15,201.85,124.62,45.16,54.84,121.46,181.63,-1.31,-1.69,4625196,14.66,13.19,0.39,523058,35.75,0.84,0.87,0.67,0.5,13121172
1315,達新,200903  ,0.15,0.58,0.58,21.24,-0.79,5.19,4.07,5.98,96.4,4.13,22.03,7.88,24.47,0.45,3.43,-0.03,0.18,-22.59,-213.2,375.57,337.01,337.01,339.62,-5.53,-11.76,0.56,285.65,198.22,69.86,30.14,43.15,315.68,-0.26,1.72,2256123,28.19,4.83,0.39,-116785,178.92,0.57,1.73,0.63,0.8,3278000
1316,上曜,200903  ,0.19,0.72,0.72,3.05,-14.63,-2.11,4.97,12.52,17.23,5,17.68,41.55,12.82,0.63,2.17,-0.32,-0.05,-31.76,-446.47,-14.17,400.21,400.21,844.86,2.6,4.57,0.77,521.55,336.06,86.91,13.09,15.07,291.59,-3.18,-0.46,418303,28.26,4.64,0.5,5249,146.75,0.58,1.65,0.35,0.34,292595
1319,東陽,200903  ,0.77,2.83,2.73,27.08,10.82,10.63,8.66,-0.19,166.41,8.36,16.27,12.87,21.28,2.76,9.35,1.01,1.02,-6.59,12.73,61.91,50.84,50.84,34.59,6.42,7.56,0.68,84.09,57.55,48.17,51.83,107.6,108.88,10.08,9.9,-1489782,41.62,4.79,0.62,53807,63.67,1.31,1.06,0.91,0.51,8443125
1321,大洋,200903  ,-0.11,-0.96,-0.96,5.35,-2.59,-1.69,-2.23,0.9,67.4,-2.23,7.93,16.41,11.74,0.8,5.05,-0.13,-0.09,-23.64,-233.9,-11.64,-0.62,-0.62,-227,-4.13,-9.42,0.43,146.76,78.06,60.02,39.98,66.6,208.42,-1.27,-0.83,504074,45.55,8.55,1.03,37267,63.85,1.72,3.29,1.04,0.51,2704013
1323,永裕,200903  ,0.18,1.76,1.65,22.37,7.21,5.97,4.34,-1.23,147.53,4.07,15.16,19.71,14.31,2.05,6.19,0.45,0.37,-6.01,-8.76,-10.04,0,0,-3.31,4.38,9.31,0.14,157.63,116.26,45.67,54.33,118.94,135.6,4.44,3.68,469757,50.46,5.5,0.73,19698,111.79,1.62,1.49,0.68,0.35,762441
1324,地球,200903  ,0.17,1.33,1.31,21.23,4.52,6.83,4.92,2.31,127.06,4.84,16.71,1.35,12.49,0.04,3.35,0.15,0.23,-16.99,150.82,646.61,996.81,996.81,978.55,0.29,8.9,1.01,317.24,225.44,79.86,20.14,25.22,186.69,1.51,2.29,448279,36.06,5.71,0.85,-3075,69.88,1.08,1.99,0.79,0.57,743698
1325,恒大,200903  ,0.42,2.49,2.5,26.44,17.08,19.79,17.75,2.72,282.35,17.87,9.36,93.05,15.22,0.91,2.21,0.38,0.45,-34.33,5.47,54.25,56.48,56.48,59.42,3.95,3.97,0.82,1009.25,846.35,89.46,10.54,11.78,252.38,3.89,4.51,788547,15.57,7.3,0.5,-16863,107.07,0.56,1.38,0.67,0.83,904477
1326,台化,200903  ,-0.47,-1.31,-1.36,-1.56,-6.14,-4.96,-4.93,1.18,-34.11,-5.12,4.58,17.03,32.76,3,10.15,-0.62,-0.52,-26.31,-193.58,-149.86,-151.71,-151.71,-153.02,-4.18,-18,-1.77,114.63,75.93,54.57,45.43,83.26,166.42,-6.4,-5.18,14239860,25.28,11.15,0.57,-2040103,77.32,1.06,1.29,1.22,0.82,220989200
1402,遠東新,200903  ,0.33,2.33,2.12,24.67,8.67,10.96,8.69,2.29,154.22,7.91,16,17.08,19.09,2.57,7.77,0.67,0.87,-20.56,-47.77,-35.84,-38.83,-38.83,-43.51,-2.61,-4.46,-0.63,102.59,69.91,51.21,48.79,95.27,159.86,6.87,8.69,1777831,26.24,6.66,0.54,4418112,70.15,1.07,1.21,1.38,0.74,120646759
1409,新纖,200903  ,0.06,0.53,0.12,11.71,1.29,2.1,1.7,0.8,112.41,0.4,10.42,8.02,10.56,0.7,4.3,0.06,0.09,-26.77,99.12,3834.45,798.72,798.72,116.33,-6.1,-16.06,0.14,171.28,94.18,25.84,74.16,287.04,150.01,0.55,0.89,8963499,34.11,8.46,0.32,138217,86.78,1.24,1.46,0.5,0.25,7517557
1410,南染,200903  ,-0.09,-0.72,-0.72,7.12,-9.48,-6.26,-9.36,3.22,42.9,-9.34,16.61,19.26,12.45,0.28,1,-0.09,-0.06,-21.75,29.48,-48.11,-128.72,-128.72,-18.56,-5.4,-1.15,-0.38,327.46,302.26,78.01,21.99,28.2,117.73,-0.94,-0.62,298354,7.77,4.65,0.24,1847,78.94,0.31,0.36,0.74,1.76,832500
1413,宏洲,200903  ,-0.19,-3.59,-3.58,-2.51,-6.44,-7.41,-9.65,-0.97,-63.68,-9.63,3.94,0.02,5.09,0,3.26,-0.21,-0.14,-51.11,-587.12,-42369.8,-50869.2,-50869.2,-737,-11.91,-23.73,-1.76,97.28,26.99,49.01,50.99,104.03,83.6,-1.24,-1.43,-30458,64.25,14.42,0.74,-15013,108.18,1.49,1.24,0.39,0.18,555944
1414,東和,200903  ,-0.41,-6.07,-6.07,-5.31,-8.79,-10.51,-10.51,-1.71,-152.07,-10.51,3.49,3.46,6.59,0.32,3.93,-0.35,-0.41,-21.16,-1221.99,-1904.66,-1904.66,-1904.66,-1837.07,-10.65,-19.06,-2.05,43.97,18.76,31.84,68.16,214.08,48.89,-3.45,-4.13,-1122745,51.59,15.18,0.75,4823,54.77,2.31,1.03,0.43,0.17,616000
1416,廣豐,200903  ,-0.03,-0.26,-0.45,37.45,-11.26,-13.04,-13.04,-1.78,76.89,-22.65,48.71,-3.21,9.86,-0.05,0.2,-0.02,-0.03,-18.68,9.51,83.84,83.84,83.84,8.59,-1,1.7,0.87,679.1,45.48,66.67,33.33,49.98,542.29,-0.21,-0.24,4406337,96.41,4.11,0.05,-136721,6843.34,0.08,0.35,0.52,5.71,2600474
1417,嘉裕,200903  ,0,0.04,-0.15,28.89,-4.3,0.02,0.3,4.32,87.04,-1.2,33.19,6.91,10.22,0.17,1.29,-0.06,0,25.78,56.45,-99.94,-99.24,-99.24,88.68,-6.27,-9.38,-4.3,237.98,164.45,77.23,22.77,29.48,376.94,-0.55,0,1296566,21.62,8.34,0.4,-64436,172.66,0.51,1.9,0.49,1.04,1899415
1418,東華,200903  ,-0.02,-0.2,-0.2,9.51,1.46,0.92,-0.43,-0.55,118.14,-0.43,8.05,4.98,8.14,0.43,3.86,0.06,0.04,-46.6,106.43,103.76,98.25,98.25,98.25,-23.72,-24.78,4.43,50.32,13.2,40.26,59.74,148.4,69.39,0.52,0.32,-514780,32.94,23.85,0.76,-13398,31.75,1.89,1.31,0.31,0.16,303432
1419,新紡,200903  ,-0.05,-0.33,-0.33,31.96,-3.22,-9.03,-9.2,-5.81,90.84,-9.2,35.19,2.3,14.51,0.18,0.52,-0.02,-0.05,10.95,53.2,43.05,40.88,40.88,22.97,6.62,-13.29,0.19,29.57,22.21,57.43,42.57,74.12,90.17,-0.17,-0.47,-1665177,4.74,8.48,0.09,-35257,147.69,0.15,0.14,1.18,7.23,5115699
1423,利華,200903  ,-0.06,-0.48,-0.51,-6.15,-11.12,-8.32,-4.78,2.8,-123.71,-5.14,4.97,90.43,13.42,0.15,1.33,-0.15,-0.11,-51.5,-2644.07,-881.46,-464.04,-464.04,-124.12,-12.31,-11.39,-0.35,4254.25,2249.8,87.45,12.55,14.35,516.11,-1.48,-1.11,1229283,25.33,27.71,0.35,10811,234.31,0.4,2.04,0.32,0.57,743750
1432,大魯閣,200903  ,-0.57,-6.2,-6.24,-5.03,-15.46,-15.34,-15.99,0.12,-48.27,-16.09,10.43,4,6.98,0.88,4.6,-0.71,-0.71,0.71,-353.54,-350.55,-359.43,-366.47,-228.85,-5.76,-9.83,-1.24,80.69,15.02,29.07,70.93,244.05,113.72,-6.81,-6.76,-361328,137.33,7.29,0.45,-10370,263.71,1.55,1.43,0.29,0.09,170043
1434,福懋,200903  ,0.01,-0.06,-0.02,7.25,-0.15,-0.66,-0.35,-0.51,97.92,-0.1,7.4,13.13,26.16,0.81,4.66,-0.01,-0.03,-27.96,-102.3,-110.18,-108.93,-108.93,-108.25,-16.8,-24.09,-0.34,164.59,85.35,65.31,34.69,53.12,247.57,-0.07,-0.31,6660138,25.71,6.45,0.43,287545,121.16,0.67,1.28,0.7,0.78,30576652
1435,中福,200903  ,-0.02,-0.36,-0.41,83.51,-11.15,-35.36,-37.47,-24.21,88.22,-42.69,94.66,0.67,5.5,0.03,0.05,-0.01,-0.02,-75.8,-0.31,-14.66,-21.5,-21.5,42.68,-1.2,-0.18,0,46.17,32.75,50.78,49.22,96.92,107.95,-0.05,-0.15,-231014,11.03,2.04,0.02,1555,5370.45,0.04,0.04,0.68,5.58,419340
1436,華友聯,200903  ,-0.05,-0.49,-0.65,59.5,-834.7,-1085.05,-1085.74,-250.35,6.65,-1434.45,894.2,-276.17,10.98,-0.24,0.01,-0.04,-0.05,16.29,12.13,-10.74,-10.77,-10.77,4.96,-4.18,-4.1,-0.09,9392.1,4112.05,98.47,1.53,1.55,118374,-0.4,-0.52,2507101,40.12,0,0,79193,197371,0,2.1,0.67,367.07,2319900
1437,勤益控,200903  ,-0.25,-1.5,-1.29,-4.09,-9.89,-14.39,-11.27,-4.51,-70.66,-9.75,5.79,7.32,16.82,0.28,2.28,-0.22,-0.33,-39.25,-193.43,-798.57,-1736.55,-1736.55,-519.9,-8.58,-5.23,-0.86,165.3,118.72,51.01,48.99,96.03,253.19,-2.25,-3.28,516784,20.9,4.56,0.27,51198,99.67,0.53,0.85,0.54,0.8,1862191
1438,三地開發,200903  ,-0.11,-26.46,-26.52,0.74,-156.71,-418.06,-418.06,-261.35,0.47,-418.99,157.45,-3.35,0.36,-0.16,0.03,-0.04,-0.11,-42.07,-0.45,4.01,4.01,4.01,4.2,-8.27,-62.25,0.02,34.8,0.85,4.98,95.02,1907.67,0,-0.41,-1.1,-313762,427.66,5.54,0.01,-21,5337.86,0.25,0,2.3,6.06,85001
