Time,stock_id,每股盈餘,ROE(A)－稅後,ROE(B)－常續利益,營業毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支/營收,貝里比率,常續利益率－稅後,營業費用率,現金流量比率,每股淨值(A),每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總資產報酬成長率,流動比率,速動比率,淨值/資產,負債比率,總負債/總淨值,長期資金適合率(A),營業利益 /實收資本比,稅前純益 /實收資本,營運資金,存貨及應收帳款/淨值,應收帳款週轉次數,總資產週轉次數,自由現金流量(D),淨營業週期（日）,淨值週轉率（次）,固定資產週轉次數,當季季底P/B,當季季底PSR,季底普通股市值,交易所主產業代碼,Y_ExpRet
2009-03-01,1102,0.55,2.18,1.99,16.17,11.56,19.0,17.0,7.44,350.93,15.56,4.61,17.85,23.75,1.44,3.41,0.39,0.67,8.13,34.59,-36.01,-40.28,-40.28,-50.2,7.64,0.97,-0.7,161.62,130.81,53.86,46.14,85.68,227.78,4.06,6.68,14407524.0,14.64,5.62,0.28,715260.0,48.58,0.51,0.75,1.24,1.91,85223897.0,M1100,0.018063700530252413
2009-03-01,1103,-0.06,-0.23,-0.21,6.32,-3.38,-6.42,-3.5,-3.05,65.19,-3.11,9.7,-4.52,27.77,-0.27,2.09,-0.07,-0.13,-29.2,-113.67,-124.66,-115.59,-115.59,-124.12,1.06,-6.59,-1.11,311.38,277.38,60.62,39.38,64.97,220.68,-0.57,-1.08,7246230.0,8.78,6.35,0.16,-621973.0,85.26,0.27,0.44,0.61,1.69,9691340.0,M1100,0.08680369158363055
2009-03-01,1104,-0.09,-0.53,-1.67,1.67,-10.05,-2.16,-4.24,7.88,14.26,-13.49,11.72,-1.58,19.17,-0.11,2.47,-0.25,-0.05,-25.81,-419.03,-116.65,-132.62,-132.62,-863.43,1.61,-4.52,-1.23,94.13,58.42,59.1,40.9,69.22,205.72,-2.48,-0.53,-249256.0,18.51,3.43,0.29,413515.0,114.67,0.5,0.87,0.68,0.99,7910972.0,M1100,0.2126865377179068
2009-03-01,1108,0.03,0.32,0.3,14.2,4.82,1.1,1.65,-3.72,151.39,1.54,9.38,2.05,10.43,0.19,2.05,0.1,0.02,-29.38,1218.6,-93.72,-85.72,-85.72,124.3,1.92,-5.38,-0.63,147.71,26.5,43.01,56.99,132.52,166.72,0.99,0.23,1754640.0,113.11,3.83,0.34,102476.0,517.84,0.79,0.98,0.59,0.6,2493186.0,M1100,0.23368845644610015
2009-03-01,1109,0.09,0.7,0.74,18.83,9.07,10.19,9.13,1.12,192.97,9.71,9.76,20.54,14.13,0.15,1.2,0.11,0.12,-13.82,-16.07,-63.5,-63.26,-63.26,24.78,-6.12,-4.49,-1.06,1251.11,1066.83,90.74,9.26,10.2,299.83,1.06,1.2,3578263.0,13.52,4.93,0.28,-7368.0,141.61,0.31,0.91,0.64,1.65,3793147.0,M1100,0.12653620722253733
2009-03-01,1110,0.06,0.43,0.4,11.38,7.42,10.0,8.16,2.59,286.98,7.73,3.97,6.83,14.27,0.05,0.74,0.05,0.07,-7.9,-38.12,-47.47,-55.09,-55.09,-49.52,-7.01,-5.96,-0.47,292.86,167.75,86.36,13.64,15.8,169.25,0.54,0.73,867750.0,10.33,5.71,0.18,38703.0,148.54,0.21,0.35,0.6,2.78,4844840.0,M1100,0.2793228265023944
2009-03-01,1201,0.34,3.24,3.67,37.15,4.16,3.68,3.41,-0.48,112.59,3.87,33.0,6.55,10.04,0.57,9.5,0.39,0.35,9.12,28.61,26.04,38.86,38.86,57.4,3.9,11.05,0.2,120.14,70.11,37.81,62.19,164.48,104.5,3.95,3.5,894164.0,74.64,10.56,1.42,62142.0,48.75,3.79,2.94,2.18,0.54,11082758.0,M1200,0.6430113813165363
2009-03-01,1203,1.36,7.24,7.24,27.76,15.39,16.55,16.17,1.16,224.45,16.17,12.37,86.24,19.91,5.46,9.52,1.46,1.65,64.55,17111.3,1654.34,1280.54,1280.54,1273.99,-11.62,20.77,4.51,198.75,101.34,61.57,38.43,62.42,130.22,15.23,16.38,1296030.0,33.89,11.91,1.02,-136606.0,81.27,1.79,2.12,0.71,0.37,2929542.0,M1200,0.8601386994580473
2009-03-01,1210,1.09,3.75,3.78,11.84,3.88,4.15,3.15,0.27,148.73,3.17,7.96,5.61,22.62,1.14,38.06,1.48,1.66,-3.6,10.48,-4.72,-8.49,-8.49,-6.26,-2.59,13.4,-0.12,161.94,83.8,57.3,42.7,74.53,187.0,14.34,15.34,5210423.0,60.96,16.01,2.68,17264.0,32.29,4.77,7.83,1.24,0.16,11598326.0,M1200,0.182973880384681
2009-03-01,1215,0.59,5.03,5.03,12.2,5.53,5.37,4.0,-0.16,182.84,4.0,6.67,42.55,11.71,2.68,14.95,0.83,0.8,-2.96,12.88,11.64,10.82,10.82,11.53,-7.67,-1.02,0.3,199.72,100.92,61.83,38.17,61.73,215.49,8.27,8.03,1456062.0,83.97,10.5,2.96,-12270.0,55.14,5.03,10.55,1.0,0.18,2726306.0,M1200,0.18367858408303284
