Time,stock_id,每股盈餘,ROE(A)－稅後,ROE(B)－常續利益,營業毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支/營收,貝里比率,常續利益率－稅後,營業費用率,現金流量比率,每股淨值(A),每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總資產報酬成長率,流動比率,速動比率,淨值/資產,負債比率,總負債/總淨值,長期資金適合率(A),營業利益 /實收資本比,稅前純益 /實收資本,營運資金,存貨及應收帳款/淨值,應收帳款週轉次數,總資產週轉次數,自由現金流量(D),淨營業週期（日）,淨值週轉率（次）,固定資產週轉次數,當季季底P/B,當季季底PSR,季底普通股市值,交易所主產業代碼,Y_ExpRet
2010-03-31,1102,0.54,1.99,1.84,10.6,6.67,16.47,15.28,9.79,269.88,14.13,3.93,1.59,24.91,0.15,3.71,0.25,0.63,12.1,-35.31,-2.84,0.74,0.74,1.83,9.39,7.01,0.11,136.63,110.19,52.68,47.32,89.82,205.6,2.55,6.3,10174746.0,14.3,5.76,0.28,728480.0,44.66,0.52,0.7,1.24,1.86,92557785.0,M1100,0.22694973609173075
2010-03-31,1103,-0.16,-0.45,-0.48,13.7,-1.48,-4.61,-9.09,-3.12,90.24,-9.61,15.18,8.89,27.41,0.37,1.52,-0.02,-0.07,-23.76,66.54,45.32,-97.67,-97.67,-136.01,-4.85,-1.16,-0.01,425.64,379.89,62.97,37.03,58.81,220.34,-0.19,-0.59,7931600.0,7.52,7.72,0.13,359357.0,132.09,0.2,0.33,0.71,2.87,11234775.0,M1100,0.4140606902941859
2010-03-31,1104,-0.18,-0.88,-0.88,3.38,-7.55,-7.89,-8.05,-0.34,30.93,-8.05,10.93,4.26,20.15,0.11,2.25,-0.17,-0.18,-8.77,31.46,-232.55,-73.21,-73.21,45.58,-4.35,4.83,-0.38,199.59,133.66,64.77,35.23,54.4,240.2,-1.7,-1.78,1529302.0,12.79,4.01,0.28,-22226.0,72.38,0.44,0.81,0.81,1.51,9813229.0,M1100,0.3513498064705787
2010-03-31,1108,-0.08,-0.74,-0.78,7.49,-1.86,-5.15,-3.9,-3.29,80.1,-4.1,9.35,0.08,10.67,0.01,2.04,-0.04,-0.1,-0.78,-138.28,-562.42,-335.1,-335.1,-363.23,-5.74,2.42,-0.26,159.21,27.7,46.73,53.27,114.0,172.08,-0.38,-1.05,1905844.0,103.45,4.2,0.35,-42709.0,486.7,0.76,1.0,0.76,0.91,3290520.0,M1100,0.47932318218406245
2010-03-31,1109,0.02,0.19,-0.07,14.91,2.65,3.25,2.73,0.6,121.59,-0.98,12.26,7.88,14.46,0.07,1.13,0.03,0.04,-5.84,-72.52,-70.0,-71.8,-71.8,-109.51,5.09,4.84,-0.38,963.33,792.6,90.52,9.48,10.47,232.34,0.3,0.37,3067336.0,12.36,5.02,0.25,-9509.0,151.37,0.27,0.64,0.7,2.03,4273150.0,M1100,0.2963050593477661
2010-03-31,1110,0.03,0.22,0.24,10.45,5.8,6.58,5.41,0.78,224.51,5.82,4.66,16.62,14.61,0.14,0.6,0.03,0.04,-18.48,-36.29,-46.38,-45.99,-45.99,-38.61,1.66,2.43,-0.18,341.47,245.56,87.02,12.98,14.92,175.67,0.35,0.39,1126105.0,9.0,4.1,0.14,24209.0,166.9,0.16,0.29,0.79,4.2,6549400.0,M1100,0.2323523628498394
2010-03-31,1201,0.38,3.27,3.27,36.4,4.11,3.98,3.5,-0.13,112.74,3.49,32.28,-3.9,11.22,-0.42,10.52,0.43,0.42,10.67,9.49,19.8,13.46,13.46,-0.24,12.08,13.06,0.45,117.03,71.28,38.14,61.86,162.19,103.27,4.32,4.19,922200.0,74.0,9.73,1.41,-197615.0,37.99,3.74,2.98,3.3,0.87,18749597.0,M1200,1.0000048769306549
2010-03-31,1203,0.19,2.37,2.37,23.27,11.37,8.6,7.54,-2.76,195.51,7.54,11.9,0.17,19.61,0.01,6.72,0.76,0.63,-22.87,-43.04,-59.9,-64.04,-64.04,-64.04,1.79,7.58,-2.86,242.41,116.06,65.07,34.93,53.67,132.31,8.26,6.25,1621111.0,34.04,11.48,0.81,-34804.0,79.56,1.26,1.59,1.37,0.91,5844446.0,M1200,1.1106552870422846
2010-03-31,1210,0.55,1.85,1.85,8.71,1.31,1.82,1.52,0.5,117.76,1.52,7.4,8.24,22.37,1.86,38.44,0.51,0.73,6.05,-64.08,-53.51,-48.72,-48.72,-49.14,6.15,1.77,-0.77,152.44,68.36,54.93,45.07,82.04,189.97,4.91,6.79,5165823.0,69.63,16.72,2.69,282652.0,31.72,4.85,8.29,1.58,0.22,15381807.0,M1200,0.35384491472524826
2010-03-31,1213,0.08,0.69,0.71,14.56,4.45,3.98,2.41,-0.47,144.02,2.51,10.11,-17.72,11.68,-0.47,3.31,0.15,0.13,6.49,70.2,9.94,-2.38,-2.38,1.55,-3.88,2.12,-0.15,248.77,222.18,81.05,18.95,23.37,234.72,1.47,1.31,202341.0,38.69,3.7,0.92,2659.0,65.6,1.14,2.64,1.01,0.88,607405.0,M1200,0.3932211830249459
2010-03-31,1215,0.38,2.57,2.56,9.6,2.87,3.03,2.4,0.16,142.72,2.39,6.73,3.03,14.95,0.24,15.78,0.45,0.48,5.54,-45.13,-40.48,-36.56,-36.56,-36.81,24.54,25.92,-0.81,184.54,79.89,62.52,37.48,59.96,272.2,4.54,4.78,1530795.0,84.37,10.96,2.6,13015.0,56.92,4.27,11.11,0.97,0.22,3364377.0,M1200,0.35217115135000787
2010-03-31,1216,0.79,4.67,3.28,31.96,6.26,7.68,6.2,1.42,124.37,4.36,25.69,5.69,17.19,1.41,18.79,1.18,1.59,14.21,36.56,58.56,68.35,68.35,31.05,3.15,10.78,0.77,114.03,68.46,38.81,61.19,157.7,171.74,12.94,15.88,13511903.0,37.57,22.11,1.16,3134427.0,15.77,3.01,3.16,2.1,0.47,140891010.0,M1200,0.39153487521711305
